Provincia;HUB;FP;LP;ULP;HP;ELP;QP;MQP;FP;LP;ULP;HP;ELP;QP;MQP
LT;BO;108,34;93,21;77,12;75,55;67,45;60,32;53,98;104,41;88,11;73,73;72,29;64,71;57,57;50,98
LT (Isole);BO;472,34;366,21;322,82;293,95;231,25;169,52;108,58;468,41;361,11;319,43;290,69;228,51;166,77;105,58
RI;BO;120,23;103,53;84,83;83,01;73,6;64,76;57,38;115,14;97,26;80,39;78,83;70,08;61,37;53,59
RM (Fuori GRA);BO;112,12;96,34;79,22;77,77;69,03;61,11;54,37;103,1;88,24;73,2;71,77;64,32;56,79;50,06
RM (GRA);BO;123,98;107,27;87,02;85,16;75,37;64,7;57,09;115,21;97,92;80,56;78,83;70,2;60,68;52,63
VT;BO;104,28;89,54;74,64;73,07;65,37;58,76;52,94;100,75;84,96;71,51;70,2;62,88;56,27;49,93
AQ;BO;118,01;101,56;83,14;81,44;72,03;63,2;56,08;112,64;96,34;79,09;77,51;69,16;60,06;52,28
CH;BO;101,28;86,67;68,23;71,38;63,8;58,09;52,28;93,3;77,77;62,88;65,36;59,09;54,18;48,23
PE;BO;101,54;86,93;68,36;71,64;63,93;58,22;52,41;93,95;78,42;63,27;65,88;59,22;54,57;48,63
TE;BO;102,32;87,45;68,75;72,03;64,32;58,5;52,54;94,61;78,96;63,53;66,27;59,74;54,7;48,76
CB;BO;125,85;108,9;93,99;86,02;76,08;65,28;57,12;119,31;101,84;88,76;81,44;72,16;61,89;53,59
IS;BO;128,59;111,25;95,95;87,59;77,4;66,33;57,78;122,59;104,71;90,98;83,4;73,86;62,93;54,24
AV;BO;119,71;103,27;84,18;82,48;73,08;63,59;56,21;113,69;97,13;79,74;78,03;69,55;60,32;52,41
BN;BO;121,01;104,58;84,96;83,27;73,73;63,72;56,21;115,4;98,43;80,66;78,96;70,34;60,85;52,67
CE;BO;116,44;100,65;82,22;80,53;71,51;62,02;55,02;110,82;94,25;77,9;76,21;67,99;59,15;51,5
NA;BO;117,62;101,71;83,01;81,18;71,9;62,41;55,3;111,6;95,04;78,44;76,73;68,38;59,41;51,89
NA (Isole);BO;299,62;238,21;205,86;190,38;153,15;127,41;94,3;293,6;231,54;201,29;185,93;149,63;124,41;90,89
NA (Capri);BO;364,62;286,96;247,14;224,18;175,9;140,41;107,3;358,6;280,29;242,56;219,73;172,38;137,41;103,89
NA (Amalfitana);BO;211,38;185,32;166,27;153,86;140,17;107,66;82,73;204,85;178,65;161,04;149,43;136,51;104,27;79,07
SA;BO;124,28;107,32;92,82;84,96;75,17;64,76;56,73;117,75;100,65;87,59;80,53;71,51;61,37;53,07
